"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Transitioning from Manual to Automated Software Regression Testing: Experience from the Banking Domain","A. Akin; S. Sentürk; V. Garousi","Research and Development (R&D) Center, Kuveyt Türk Participation Bank Inc., Turkey; Research and Development (R&D) Center, Kuveyt Türk Participation Bank Inc., Turkey; Research and Development (R&D) Center, Kuveyt Türk Participation Bank Inc., Turkey","2018 25th Asia-Pacific Software Engineering Conference (APSEC)","23 May 2019","2018","","","591","597","Regression testing is needed when a software or the environment hosting that software changes. Motivated by a real-world industrial need in the context of a large financial (banking) corporation in Turkey, the authors and their colleagues developed and introduced an automated regression testing infrastructure for automated testing of one of the main mobile applications of the company. Before this project, regression testing was conducted manually which incurred a lot of costs and was by nature subjective. We report in this paper our experience in ""transitioning"" from manual to automated regression testing, and in developing and introducing a set of large automated test suites (more than 16 KLOC in total), using best practices in state-of-the art and -practice, and to report its observed benefits by conducting cost-benefit analysis. The project was conducted based on the principles of case-study and ""action research"" in which the real industrial needs drove the research. Among the best practices that we used are the followings: (1) modularity in test code, (2) creating test-specific libraries, and (3) separating test data from test logic. By serving as a success story and experience report in development and introduction of automated test suites in an industrial setting, this paper adds to the body of evidence in this area and it aims at sharing both technical (e.g., using automated test patterns) and process aspects (e.g., test process improvement) from our project with other practitioners and researchers.","2640-0715","978-1-7281-1970-0","10.1109/APSEC.2018.00074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8719455","Software testing;regression testing;test automation;experience report;mobile software","Testing;Automation;Software;Companies;Tools;Manuals;Banking","bank data processing;cost-benefit analysis;mobile computing;program testing;regression analysis;software libraries","test code;automated software regression testing;banking domain;financial corporation;cost-benefit analysis;creating test-specific libraries;test data separation;Turkey;mobile applications;industrial needs","","3","","39","IEEE","23 May 2019","","","IEEE","IEEE Conferences"
"Improving Testing in an Enterprise SOA with an Architecture-Based Approach","G. Buchgeher; C. Klammer; W. Heider; M. Schüetz; H. Huber","Software Competence Center Hagenberg, Hagenberg, Austria; Software Competence Center Hagenberg, Hagenberg, Austria; Raiffeisen Software GmbH, Linz, Austria; Raiffeisen Software GmbH, Linz, Austria; Raiffeisen Software GmbH, Linz, Austria","2016 13th Working IEEE/IFIP Conference on Software Architecture (WICSA)","21 Jul 2016","2016","","","231","240","High resource demand for system testing is a major obstacle for continuous delivery. This resource demand can be reduced by prioritizing test cases, e.g., by focusing on tests that cover a lot of functionality. For large-scale systems, like an enterprise SOA, defining such test cases can be difficult for the tester because of the lack of relevant knowledge about the system. We propose an approach for test case prioritization and selection that is based on architectural viewpoint that provides software testers with the required architectural information. We outline how architectural information is used for defining and selecting prioritized test cases. The approach has been developed in close cooperation with the provider of an enterprise SOA in the banking domain in Austria following an action research approach. In addition, the approach has been validated in an industrial case study. Validation showed that there is no further need for manual architectural analysis to be able to prioritize and select test cases. We also show the limitations of our approach as it is based on static code analysis.","","978-1-5090-2131-4","10.1109/WICSA.2016.24","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516833","Test Management;Testing;Test Case Prioritization;SOA;Architecture Knowledge;Architecture-based Testing","Computer architecture;Testing;Service-oriented architecture;Semiconductor optical amplifiers;Business","program diagnostics;program testing;service-oriented architecture","static code analysis;action research approach;Austria;banking domain;software architectural information;software testers;test case selection;test case prioritization;system testing;enterprise SOA","","3","","24","IEEE","21 Jul 2016","","","IEEE","IEEE Conferences"
"Assessing Test Case Prioritization on Real Faults and Mutants","Q. Luo; K. Moran; D. Poshyvanyk; M. Di Penta","Department of Computer Science, College of William & Mary, Williamsburg, VA; Department of Computer Science, College of William & Mary, Williamsburg, VA; Department of Computer Science, College of William & Mary, Williamsburg, VA; Department of Engineering, University of Sannio, Benevento, Italy","2018 IEEE International Conference on Software Maintenance and Evolution (ICSME)","11 Nov 2018","2018","","","240","251","Test Case Prioritization (TCP) is an important component of regression testing, allowing for earlier detection of faults or helping to reduce testing time and cost. While several TCP approaches exist in the research literature, a growing number of studies have evaluated them against synthetic software defects, called mutants. Hence, it is currently unclear to what extent TCP performance on mutants would be representative of the performance achieved on real faults. To answer this fundamental question, we conduct the first empirical study comparing the performance of TCP techniques applied to both real-world and mutation faults. The context of our study includes eight well-studied TCP approaches, 35k+ mutation faults, and 357 real-world faults from five Java systems in the Defects4J dataset. Our results indicate that the relative performance of the studied TCP techniques on mutants may not strongly correlate with performance on real faults, depending upon attributes of the subject programs. This suggests that, in certain contexts, the best performing technique on a set of mutants may not be the best technique in practice when applied to real faults. We also illustrate that these correlations vary for mutants generated by different operators depending on whether chosen operators reflect typical faults of a subject program. This highlights the importance, particularly for TCP, of developing mutation operators tailored for specific program domains.","2576-3148","978-1-5386-7870-1","10.1109/ICSME.2018.00033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8530033","Test Case Prioritization;Empirical Study;TCP;Mutation Analysis;Mutation Testing;Mutants","Testing;Software;Fault detection;Genetic algorithms;Correlation;Measurement;Data mining","Java;program testing;regression analysis;software fault tolerance","studied TCP techniques;typical faults;test case prioritization;regression testing;testing time;synthetic software defects;well-studied TCP approaches;real-world faults;Defects4J dataset;TCP performance;mutation faults","","28","","80","IEEE","11 Nov 2018","","","IEEE","IEEE Conferences"
"Some Thoughts on Model-Based Test Optimization","P. Liu; Y. Li; Z. Li","Engineering Research Center for Software Testing and Evaluation of Fujian Province, Fujian, China; Shanghai Business School, Shanghai, China; Department of Industrial Engineering and Engineering Management, Western New England University, USA","2019 IEEE 19th International Conference on Software Quality, Reliability and Security Companion (QRS-C)","7 Oct 2019","2019","","","268","274","As a test method, model-based testing has been proven to have the ability to find inconsistencies between a software system and its design model and objectives. Because the design of the model is independent of the development of program codes, the generation of test cases from the model is synchronized with the development of software codes, saving the software test cost. This paper reviews the development of model-based test methods from the optimization perspective and presents five issues in the test optimization process. In addition, the paper discusses four types of optimization strategies for reducing the redundancy of test sequences and an optimization method by using the regular expression model. Finally, this paper gives two potential research directions, including model optimization and software bug location in the program, for model-based testing in the future. This research contributes to the applications of model-based testing in industry.","","978-1-7281-3925-8","10.1109/QRS-C.2019.00058","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8859442","test optimization;model-based testing;redundancy reduction;model optimization","Software;Optimization;Automata;Unified modeling language;Object oriented modeling;Software testing","optimisation;program debugging;program testing","test optimization process;test sequences;optimization method;regular expression model;model optimization;software bug location;model-based testing;model-based test optimization;test method;design model;software test cost;model-based test methods;software codes development;optimization strategies","","5","","75","IEEE","7 Oct 2019","","","IEEE","IEEE Conferences"
"Design and implementation of bank financial business automation testing framework based on QTP","X. Xie; Z. Yang; J. Yu; W. Zhang","School of Information Yunnan, University of Finance and Economics, Kunming, China; School of Infomation, Yunnan University Kunming, Kunming, China; School of Information, Yunnan University of Finance and Economics, Kunming, Yunnan, CN; School of Infomation, Yunnan University Kunming, Kunming, China","2016 5th International Conference on Computer Science and Network Technology (ICCSNT)","19 Oct 2017","2016","","","143","147","The current software testing in the aspects of industrial benefits gradually causes the attention of the domestic financial bank. The innovation of software technology, the increase of software scale and the shortened developing period make the traditional manual testing meeting enormous challenges, while the development of automated testing technology has promoted the progress of the software testing industry. Because of the particularity of financial and banking services, the bank is under an obligation to ensure the quality and reliability of software. Therefore it's vital to test the software. In specific practice, although the powerful third-party testing tools can be used as a solution, it is hard to rely on certain tool to implement automated testing, hence a framework of automated test is required to be introduced for testing, which intends to handle high efficiency and high-quality testing for software automation. This paper proposes a kind of software automation testing framework based on QTP, mainly targeting on the core of the bank, credit, online banking to test the function of the three major operations. The framework is a secondary development based on QTP and mainly for regression testing of software, which integrates techniques including object recognition, data-driven, and keyword-driven technology, checkpoint technology, to proceed business-level testing. The paper expatiated on four issues, which were the test system design, the test standardization, the testing framework design and the testing of the implementation. The practical application shows that the framework can improve the operational efficiency, reduce the test cost, and guarantee the smooth progress of the software automation testing.","","978-1-5090-2129-1","10.1109/ICCSNT.2016.8070136","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8070136","software testing;test automation framework;QTP automated testing tool","Testing;Software;Tools;Automation;Standardization;Object recognition;Libraries","bank data processing;object recognition;program testing;software quality;software reliability","object recognition;software reliability;software quality;banking service;bank financial business automation testing framework;financial services;software scale;software technology;domestic financial bank;software automation testing;test cost;testing framework design;test standardization;test system design;business-level testing;keyword-driven technology;regression testing;online banking;QTP;third-party testing tools;software testing industry;automated testing technology","","2","","17","IEEE","19 Oct 2017","","","IEEE","IEEE Conferences"
"A Logistic Regression Based Approach for Software Test Management","Y. Zhou; J. Yan","School of Information and Engineering, Communication Univercity of China, Beijing, China; MOE, Communication Univercity of China, Beijing, China","2016 International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery (CyberC)","28 Feb 2017","2016","","","268","271","Software test management is a hot field of software engineering both in academia and industry. However, traditional research are focused on software quality rather than test quality which could be evaluated by test management. Meanwhile, previous works on evaluating software test management were mostly based on statistical methods. In recently years, machine learning algorithms and techniques are developing rapidly. Logistic Regression is one of the important and often used algorithms. It is widely used in many domains such as credit investigation, book classification and so on. Therefore, our objective is to establish a logistic regression based approach for software test management to evaluate test quality. In this paper, we introduce our methodology to build metrics framework for test management, and enumerate the definition, type and range of each metric. We also show some results of our experiments using some data samples from a huge data sets.","","978-1-5090-5154-0","10.1109/CyberC.2016.59","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7864244","test management;logistic regression;test quality","Software;Logistics;Testing;Total quality management;Mathematical model;Software measurement","logistics data processing;program testing;regression analysis;software management;software quality","logistic regression;software test management;software engineering;academia;industry;software quality;statistical methods;metric framework;data samples;huge data sets","","2","","7","IEEE","28 Feb 2017","","","IEEE","IEEE Conferences"
"Quality Assessment for Large-Scale Industrial Software Systems: Experience Report at Alibaba","C. Zhi; S. Deng; J. Yin; M. Fu; H. Zhu; Y. Li; T. Xie","Zhejiang University, Hangzhou, China; Zhejiang University, Hangzhou, China; Zhejiang University, Hangzhou, China; Alibaba Group, Hangzhou, China; Alibaba Group, Hangzhou, China; Alibaba Group, Hangzhou, China; Ministry of Education, Key Laboratory of High Confidence Software Technologies (Peking University), China","2019 26th Asia-Pacific Software Engineering Conference (APSEC)","2 Jan 2020","2019","","","142","149","To assure high software quality for large-scale industrial software systems, traditional approaches of software quality assurance, such as software testing and performance engineering, have been widely used within Alibaba, the world's largest retailer, and one of the largest Internet companies in the world. However, there still exists a high demand for software quality assessment to achieve high sustainability of business growth and engineering culture in Alibaba. To address this issue, we develop an industrial solution for software quality assessment by following the GQM paradigm in an industrial setting. Moreover, we integrate multiple assessment methods into our solution, ranging from metric selection to rating aggregation. Our solution has been implemented, deployed, and adopted at Alibaba: (1) used by Alibaba's Business Platform Unit to continually monitor the quality for 60+ core software systems; (2) used by Alibaba's R&D Efficiency Unit to support group-wide quality-aware code search and automatic code inspection. This paper presents our proposed industrial solution, including its techniques and industrial adoption, along with the lessons learned during the development and deployment of our solution.","2640-0715","978-1-7281-4648-5","10.1109/APSEC48747.2019.00028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8945717","software quality assessment;software quality model;experience report","Software quality;Business;Software systems;Software metrics;Adaptation models","Internet;program testing;quality assurance;retailing;software metrics;software quality;source code (software)","large-scale industrial software systems;software quality assurance;software testing;Internet companies;software quality assessment;sustainability;business growth;engineering culture;industrial solution;industrial setting;group-wide quality-aware code search;Alibaba R&D Efficiency Unit;Alibaba Business Platform Unit;performance engineering;retailer;GQM paradigm;rating aggregation;metric selection;automatic code inspection","","2","","27","IEEE","2 Jan 2020","","","IEEE","IEEE Conferences"
"Will My Tests Tell Me If I Break This Code?","R. Niedermayr; E. Juergens; S. Wagner","CQSE GmbH Garching b. München, Germany; CQSE GmbH Garching b. München, Germany; University of Sfuttgart Stuttgart, Germany","2016 IEEE/ACM International Workshop on Continuous Software Evolution and Delivery (CSED)","9 Jan 2017","2016","","","23","29","Automated tests play an important role in software evolution because they can rapidly detect faults introduced during changes. In practice, code-coverage metrics are often used as criteria to evaluate the effectiveness of test suites with focus on regression faults. However, code coverage only expresses which portion of a system has been executed by tests, but not how effective the tests actually are in detecting regression faults. Our goal was to evaluate the validity of code coverage as a measure for test effectiveness. To do so, we conducted an empirical study in which we applied an extreme mutation testing approach to analyze the tests of open-source projects written in Java. We assessed the ratio of pseudo-tested methods (those tested in a way such that faults would not be detected) to all covered methods and judged their impact on the software project. The results show that the ratio of pseudo-tested methods is acceptable for unit tests but not for system tests (that execute large portions of the whole system). Therefore, we conclude that the coverage metric is only a valid effectiveness indicator for unit tests.","","978-1-4503-4157-8","10.1145/2896941.2896944","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7809431","Regression Testing;Test Suite Effectiveness;Code Coverage;Mutation Testing","Testing;Measurement;Open source software;Java;Production facilities;Correlation","fault diagnosis;Java;program debugging;program testing;public domain software;regression analysis;software maintenance;software metrics","software testing;automated testing;software evolution;code-coverage metrics;regression fault detection;code coverage validity evaluation;test effectiveness measure;extreme mutation testing;open-source project;Java;software project","","5","","13","","9 Jan 2017","","","IEEE","IEEE Conferences"
"Experience Report: Automated System Level Regression Test Prioritization Using Multiple Factors","P. E. Strandberg; D. Sundmark; W. Afzal; T. J. Ostrand; E. J. Weyuker","Westermo Research and Development AB, Västerås, Sweden; Mälardalen University, Västerås, Sweden; Mälardalen University, Västerås, Sweden; Mälardalen University, Västerås, Sweden; Mälardalen University, Västerås, Sweden","2016 IEEE 27th International Symposium on Software Reliability Engineering (ISSRE)","8 Dec 2016","2016","","","12","23","We propose a new method of determining an effective ordering of regression test cases, and describe its implementation as an automated tool called SuiteBuilder developed by Westermo Research and Development AB. The tool generates an efficient order to run the cases in an existing test suite by using expected or observed test duration and combining priorities of multiple factors associated with test cases, including previous fault detection success, interval since last executed, and modifications to the code tested. The method and tool were developed to address problems in the traditional process of regression testing, such as lack of time to run a complete regression suite, failure to detect bugs in time, and tests that are repeatedly omitted. The tool has been integrated into the existing nightly test framework for Westermo software that runs on large-scale data communication systems. In experimental evaluation of the tool, we found significant improvement in regression testing results. The re-ordered test suites finish within the available time, the majority of fault-detecting test cases are located in the first third of the suite, no important test case is omitted, and the necessity for manual work on the suites is greatly reduced.","2332-6549","978-1-4673-9002-6","10.1109/ISSRE.2016.23","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7774503","","Testing;Topology;Ports (Computers);Manuals;Hardware;Software;Research and development","data communication;fault diagnosis;program testing;regression analysis;statistical testing","automated system level regression test prioritization;SuiteBuilder;fault detection success;regression testing process;Westermo software;large-scale data communication systems;fault-detection test;software testing","","15","","22","IEEE","8 Dec 2016","","","IEEE","IEEE Conferences"
"iTES: Integrated Testing and Evaluation System for Software Vulnerability Detection Methods","C. Zhang; J. Chen; S. Cai; B. Liu; Y. Wu; Y. Geng","Jiangsu University, School of Computer Science and Communication Engineering, Zhenjiang, China; Jiangsu University, School of Computer Science and Communication Engineering, Zhenjiang, China; Jiangsu University, School of Computer Science and Communication Engineering, Zhenjiang, China; Jiangsu University, School of Computer Science and Communication Engineering, Zhenjiang, China; Jiangsu University, School of Computer Science and Communication Engineering, Zhenjiang, China; Jiangsu University, School of Computer Science and Communication Engineering, Zhenjiang, China","2020 IEEE 19th International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)","9 Feb 2021","2020","","","1455","1460","To find software vulnerabilities using software vulnerability detection technology is an important way to ensure the system security. Existing software vulnerability detection methods have some limitations as they can only play a certain role in some specific situations. To accurately analyze and evaluate the existing vulnerability detection methods, an integrated testing and evaluation system (iTES) is designed and implemented in this paper. The main functions of the iTES are:(1) Vulnerability cases with source codes covering common vulnerability types are collected automatically to form a vulnerability cases library; (2) Fourteen methods including static and dynamic vulnerability detection are evaluated in iTES, involving the Windows and Linux platforms; (3) Furthermore, a set of evaluation metrics is designed, including accuracy, false positive rate, utilization efficiency, time cost and resource cost. The final evaluation and test results of iTES have a good guiding significance for the selection of appropriate software vulnerability detection methods or tools according to the actual situation in practice.","2324-9013","978-1-6654-0392-4","10.1109/TrustCom50675.2020.00196","National Natural Science Foundation of China (NSFC)(grant numbers:U1836116,61762040,61872167); Graduate Research Innovation Project of Jiangsu Province(grant numbers:KYCX17_1807); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9343154","software vulnerability detection;information security;evaluation method;test platform","Linux;Tools;Software;Time measurement;Security;Indexes;Testing","Linux;program testing;safety-critical software","vulnerability case library;integrated testing and evaluation system;appropriate software vulnerability detection methods;evaluation metrics;dynamic vulnerability detection;static vulnerability detection;system security;software vulnerability detection technology;iTES","","","","26","IEEE","9 Feb 2021","","","IEEE","IEEE Conferences"
"Adaptive Partition Testing","C. -A. Sun; H. Dai; H. Liu; T. Y. Chen; K. -Y. Cai","School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China; School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China; College of Engineering and Science, Victoria University, Melbourne, VIC, Australia; Department of Computer Science and Software Engineering, Swinburne University of Technology, Hawthorn, VIC, Australia; School of Automation Science and Electrical Engineering, Beihang University, Beijing, China","IEEE Transactions on Computers","13 Jan 2019","2019","68","2","157","169","Random testing and partition testing are two major families of software testing techniques. They have been compared both theoretically and empirically in numerous studies for decades, and it has been widely acknowledged that they have their own advantages and disadvantages and that their innate characteristics are fairly complementary to each other. Some work has been conducted to develop advanced testing techniques through the integration of random testing and partition testing, attempting to preserve the advantages of both while minimizing their disadvantages. In this paper, we propose a new testing approach, adaptive partition testing, where test cases are randomly selected from some partition whose probability of being selected is adaptively adjusted along the testing process. We particularly develop two algorithms, Markov-chain based adaptive partition testing and reward-punishment based adaptive partition testing, to implement the proposed approach. The former algorithm makes use of Markov matrix to dynamically adjust the probability of a partition to be selected for conducting tests; while the latter is based on a reward and punishment mechanism. We conduct empirical studies to evaluate the performance of the proposed algorithms using ten faulty versions of three large-scale open source programs. Our experimental results show that, compared with two baseline techniques, namely random partition testing (RPT) and dynamic random testing (DRT), our algorithms deliver higher fault-detection effectiveness with lower test case selection overhead. It is demonstrated that the proposed adaptive partition testing is an effective testing approach, taking advantages of both random testing and partition testing.","1557-9956","","10.1109/TC.2018.2866040","Beijing Municipal Natural Science Foundation(grant numbers:4162040); National Natural Science Foundation of China(grant numbers:61872039); Aeronautical Science Foundation of China(grant numbers:2016ZD74004); Fundamental Research Funds for the Central Universities(grant numbers:FRF-GF-17-B29); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8440117","Random testing;partition testing;adaptive partition testing","Software testing;Markov processes;Probability;Statistical analysis","Markov processes;probability;program testing;statistical testing","software testing techniques;advanced testing techniques;test cases;testing process;Markov-chain based adaptive partition testing;reward-punishment based adaptive partition testing;random partition testing;dynamic random testing;lower test case selection;effective testing approach","","9","","35","IEEE","19 Aug 2018","","","IEEE","IEEE Journals"
"A Cost-Effective Random Testing Method for Programs with Non-Numeric Inputs","A. C. Barus; T. Y. Chen; F. -C. Kuo; H. Liu; R. Merkel; G. Rothermel","Institut Teknologi Del, Kab Toba Samosir 22381, Sumatera Utara, Indonesia; Swinburne University of Technology, Hawthorn, VIC, Australia; Swinburne University of Technology, Hawthorn, VIC, Australia; Australia-India Research Centre for Automation Software Engineering, RMIT University, Melbourne, VIC, Australia; Monash University, Clayton, VIC, Australia; Department of Computer Science and Engineering, University of Nebraska - Lincoln, Lincoln, NC, NE","IEEE Transactions on Computers","4 Nov 2016","2016","65","12","3509","3523","Random testing (RT) has been widely used in the testing of various software and hardware systems. Adaptive random testing (ART) is a family of random testing techniques that aim to enhance the failure-detection effectiveness of RT by spreading random test cases evenly throughout the input domain. ART has been empirically shown to be effective on software with numeric inputs. However, there are two aspects of ART that need to be addressed to render its adoption more widespread-applicability to programs with nonnumeric inputs, and the high computation overhead of many ART algorithms. We present a linear-order ART algorithm for software with non-numeric inputs. The key requirement for using ART with non-numeric inputs is an appropriate “distance” measure. We use the concepts of categories and choices from category-partition testing to formulate such a measure. We investigate the failure-detection effectiveness of our technique by performing an empirical study on 14 object programs, using two standard metrics-F-measure and P-measure. Our ART algorithm statistically significantly outperforms RT on 10 of the 14 programs studied, and exhibits performance similar to RT on three of the four remaining programs. The selection overhead of our ART algorithm is close to that of RT.","1557-9956","","10.1109/TC.2016.2547380","Air Force Office of Scientific Research(grant numbers:FA9550-10-1-0406); University of Nebraska; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7442567","Random testing;adaptive random testing;category-partition method","Subspace constraints;Random processes;Power capacitors;Software algorithms;Testing;Failure analysis","program testing;random processes","programs with nonnumeric inputs;software systems testing;hardware systems testing;adaptive random testing;RT failure-detection effectiveness;linear-order ART algorithm;software with nonnumeric inputs;category-partition testing;F-measure metrics;P-measure metrics","","19","","30","IEEE","28 Mar 2016","","","IEEE","IEEE Journals"
"Toward a New Methodology for an Efficient Test of Reconfigurable Hardware Systems","A. Ben Ahmed; O. Mosbahi; M. Khalgui; Z. Li","Tunisia Polytechnic School, University of Carthage, Tunis, Tunisia; National Institute of Applied Sciences and Technology, University of Carthage, Tunis, Tunisia; School of Electrical and Information Engineering, Jinan University (Zhuhai Campus), Zhuhai, China; School of Electro-Mechanical Engineering, Xidian University, Xi’an, China","IEEE Transactions on Automation Science and Engineering","4 Oct 2018","2018","15","4","1864","1882","This paper deals with the test of a reconfigurable hardware system (RHS). The latter is a hardware device that allows to change the hardware resources at runtime in order to modify the system functions and therefore to dynamically adapt the system to its environment. The increasing functional complexity of embedded systems and the transition to the RHS make the hardware testing a challenging task, especially under the confine of providing a high quality with a low cost. Considering the fact that the hardware test represents a key cost factor in a production process, an optimal test strategy can be advantageous in the competitive industrial market. Accordingly, this paper introduces a new methodology for an efficient hardware test of RHS. For an RHS, the number of stuck-at faults can be very large, which leads to a significant slowdown in the testing process. Because of the redundancy of faults between the different circuits composing an RHS, the proposed methodology aims at minimizing the number of faults using the inter-circuits relationships and consequently at providing an optimal fault set that can be effectively used for testing. Efficient techniques for test generation and test set validation are proposed to provide the test patterns for faults reduced by inter-circuits fault collapsing. The application of the generated test patterns is typically sufficient to provide an overall fault coverage. The proposed methodology is implemented in a new visual environment named TnTest. An experimental study confirms and validates the expected findings. Note to Practitioners-This paper addresses possible challenges for future generations of adaptive embedded systems. It proposes an original methodology for an efficient reconfigurable hardware system (RHS) hardware test. The main objective is to significantly reduce time and cost needed for the testing process. For an RHS, the number of stuck-at faults can be very large, which can cause a major slowdown in the hardware test. Based on the inter-circuits relations existing between the different circuits composing an RHS, the proposed methodology decreases considerably not only the number of the faults but also the test patterns needed for testing. The application of the generated test patterns is typically sufficient to provide an overall fault coverage. The proposed methodology is implemented in a new visual software environment named TnTest, which is capable of providing the smallest fault set as well as the efficient test set that can be effectively used for testing. This environment can be applied to test any embedded device that can be deployed in any new application based on flexible technologies. It can also be useful in manufacturing industries for a required improvement of the production process in relation to time and cost.","1558-3783","","10.1109/TASE.2018.2822050","Science and Technology Development Fund(grant numbers:078/2015/A3); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8353199","Automatic test pattern generation (ATPG);embedded system;fault collapsing;optimized test and validation;reconfiguration;scan","Reconfigurable architectures;Hardware;Testing;Automatic test pattern generation;Embedded systems","automatic test pattern generation;embedded systems;fault diagnosis;fault simulation;logic circuits;logic testing;program testing;reconfigurable architectures","RHS;hardware device;hardware resources;hardware testing;optimal test strategy;optimal fault set;inter-circuits fault collapsing;generated test patterns;adaptive embedded systems;reconfigurable hardware system;TnTest","","11","","42","IEEE","1 May 2018","","","IEEE","IEEE Journals"
"A Fast Regression Testing Method Using for EMS System Engineering Project","X. Kai; S. Chao","Institute of of NR Electric Co., Ltd, Nanjing, China; Institute of of NR Electric Co., Ltd, Nanjing, China","2016 Third International Conference on Trustworthy Systems and their Applications (TSA)","12 Dec 2016","2016","","","108","111","EMS(Energy Management System) is a software system with complex structure, which is used in power grid dispatching automation. In the life cycle of the system, it will go through a number of tests, such as FAT(factory test), SAT(acceptance test), etc, whose test cases will be as many as ten thousand. In the maintenance of EMS system, requirements may be often changed, which motivates the component modification to create new versions and their accompany tests. Regression testing strategies aim at the retest for modification affection in EMS software maintenance. This paper presents a EMS system regression testing method based on a new Component Testing Association Model. In this method, previously executed test cases are selected to generate the minimal regression test suite by the identification and impact analysis for the modification-affected component groups. Compared with traditional methods, our approach focus on the complicated interaction between components, which is more applicable to component system regression testing. Our method greatly saves the EMS system regression testing costs which go through the functional adjustment. In practical projects the execution of a moderate scale regression test was reduced by about 2 weeks.","","978-1-5090-3539-7","10.1109/TSA.2016.26","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7780233","Ems system;regression test","","energy management systems;power grids;program testing;software maintenance;systems engineering","modification-affected component groups;minimal regression test suite generation;component testing association model;EMS system regression testing method;EMS software maintenance;component modification;acceptance test;SAT;factory test;FAT;software system life cycle;power grid dispatching automation;energy management system;EMS system engineering project","","","","9","IEEE","12 Dec 2016","","","IEEE","IEEE Conferences"
"Development of information exchange of software and hardware tools of system of test of difficult scientific-technical objects","V. V. Guchuk","V. A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, Academy of Sciences, Moscow, Russia","2017 Tenth International Conference Management of Large-Scale System Development (MLSD)","16 Nov 2017","2017","","","1","5","The issues of software and hardware development are considered of data logging into systems of testing complex objects. The describes the architecture of a system for testing complex scientific-technical objects. In the list of original elements of the concept of building highly reliable, fast-reconfigurable interactive test monitoring and control systems: - using of original technology of representation dynamic parameters of the current process of test management for the process to simplify the process of making reasonable and effective operational decisions; - using of classification analysis algorithms (for determining the periodicity in the study of the rhythmic structure of complex signals) that increase the informative of the parametric estimates obtained; - using of hierarchically detailed 3-D representations to the operator of the state of the control system and the object under test; - using of methods and algorithms for preemptive criterial adaptation for guaranteed preservation of controllability conditions and prevention of abnormal conditions; - using of the method of modeling the process of targeted selection and making decisions on the evaluation of test results, based on a structurally linked set of requirements for the characteristics of the evaluated objects. In the work, some aspects of the development of the interconnection of software and hardware for providing data logging during testing of complex objects, including for diagnosing and forecasting work processes with the purpose of preventing the development of emergency situations, are sketched out.","","978-1-5386-0798-5","10.1109/MLSD.2017.8109636","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8109636","data stream;software and hardware tools;scientific-technical object;emergency situation;data logging;interactive mode","Testing;Databases;Process control;Hardware;Software;Control systems;Sensors","control engineering computing;data analysis;decision making;program testing;quality control;software engineering;software reliability","classification analysis algorithms;complex signals;control system;controllability conditions;software;data logging;information exchange;hardware tools;scientific-technical objects;hardware development;original elements;fast-reconfigurable interactive test monitoring;control systems;representation dynamic parameters;test management;3D representations;complex objects;operational decisions;forecasting work processes","","","","16","IEEE","16 Nov 2017","","","IEEE","IEEE Conferences"
