Year,Authors,Title,Source
2016,,Isomorphic regression testing: executing uncovered branches without test augmentation,Forward snowballing (2021-11)
2020,,JTeC: A Large Collection of Java Test Classes for Test Code Analysis and Processing,Forward snowballing (2021-11)
2019,,Keeping master green at scale,Forward snowballing (2021-11)
2019,,Large-scale empirical studies on effort-aware security vulnerability prediction methods,Forward snowballing (2021-11)
2017,,LeakDAF: An automated tool for detecting leaked activities and fragments of Android applications,Forward snowballing (2021-11)
2018,,LESDroid-A Tool for Detecting Exported Service Leaks of Android Applications,Forward snowballing (2021-11)
2020,,LSTM‑based deep learning for spatial–temporal software testing,Forward snowballing (2021-11)
2019,,Machine learning applied to software testing: A systematic mapping study,Forward snowballing (2021-11)
2019,,MAF: method-anchored test fragmentation for test code plagiarism detection,Forward snowballing (2021-11)
2019,,Mahtab: Phase-wise acceleration of regression testing for C,Forward snowballing (2021-11)
2020,,Many-objective test suite generation for software product lines,Forward snowballing (2021-11)
2016,,MBF4CR: A model-based framework for supporting an automated cancer registry system,Forward snowballing (2021-11)
2018,,Measuring the Effectiveness of TCP Technique for Event Sequence Test Cases,Forward snowballing (2021-11)
2019,,Method-Level Test Selection for Continuous Integration with Static Dependencies and Dynamic Execution Rules,Forward snowballing (2021-11)
2019,,Metrics for analyzing variability and its implementation in software product lines: A systematic literature review,Forward snowballing (2021-11)
2017,,Mining cross product line rules with multi-objective search and machine learning,Forward snowballing (2021-11)
2019,,Mining historical test logs to predict bugs and localize faults in the test logs,Forward snowballing (2021-11)
2019,,Mobile application quality assurance,Forward snowballing (2021-11)
2019,,Modeling variability in the video domain: language and experience report,Forward snowballing (2021-11)
2018,,Multi-objective black-box test case selection for cost-effectively testing simulation models,Forward snowballing (2021-11)
2020,,Multi-objective Integer Programming Approaches for Solving the Multi-criteria Test-suite Minimization Problem: Towards Sound and Complete Solutions of a Particular …,Forward snowballing (2021-11)
2020,,Multi-objective test suite optimization for detection and localization of software faults,Forward snowballing (2021-11)
2017,,Multiobjective testing resource allocation under uncertainty,Forward snowballing (2021-11)
2019,,Mutation testing advances: an analysis and survey,Forward snowballing (2021-11)
2020,,Neural Network Classification for Improving Continuous Regression Testing,Forward snowballing (2021-11)
2019,,Novel Fuzzy Clustering Methods for Test Case Prioritization in Software Projects,Forward snowballing (2021-11)
2020,,Occurrence Frequency and All Historical Failure Information Based Method for TCP in CI,Forward snowballing (2021-11)
2020,,On the testing resource allocation problem: Research trends and perspectives,Forward snowballing (2021-11)
2019,,Optimal test suite selection in regression testing with testcase prioritization using modified Ann and Whale optimization algorithm,Forward snowballing (2021-11)
2017,,Optimizing product orders using graph algorithms for improving incremental product-line analysis,Forward snowballing (2021-11)
2020,,Output Sampling for Output Diversity in Automatic Unit Test Generation,Forward snowballing (2021-11)
2020,,Overlap-aware rapid type analysis for constructing one-to-one matched call graphs in regression test selection,Forward snowballing (2021-11)
2020,,Parallel multi-objective artificial bee colony algorithm for software requirement optimization,Forward snowballing (2021-11)
2019,,Pareto efficient multi-objective black-box test case selection for simulation-based testing,Forward snowballing (2021-11)
2019,,Performance comparison of multi-objective algorithms for test case prioritization during web application testing,Forward snowballing (2021-11)
2020,,Piranha: reducing feature flag debt at uber,Forward snowballing (2021-11)
2020,,Poster: Test Case Prioritization Using Error Propagation Probability,Forward snowballing (2021-11)
2018,,Practical amplification of condition/decision test coverage by combinatorial testing,Forward snowballing (2021-11)
2020,,Practical Machine-Checked Formalization of Change Impact Analysis,Forward snowballing (2021-11)
2020,,Practical relevance of software engineering research: synthesizing the community's voice,Forward snowballing (2021-11)
2019,,Preference based multi-objective algorithms applied to the variability testing of software product lines,Forward snowballing (2021-11)
2018,,Prioritising abstract test cases: an empirical study,Forward snowballing (2021-11)
2020,,Prioritization of Test Cases with Varying Test Costs and Fault Severities for Certification Testing,Forward snowballing (2021-11)
2019,,Prioritizing automated user interface tests using reinforcement learning,Forward snowballing (2021-11)
2019,,Prioritizing JUnit Test Cases Without Coverage Information: An Optimization Heuristics Based Approach,Forward snowballing (2021-11)
2019,,QADroid: regression event selection for Android applications,Forward snowballing (2021-11)
2020,,Quality Indicators in Search-based Software Engineering: An Empirical Evaluation,Forward snowballing (2021-11)
2020,,Recommending Refactorings via Commit Message Analysis,Forward snowballing (2021-11)
2019,,Reflection-aware static regression test selection,Forward snowballing (2021-11)
2020,,Regression Test Case Prioritization Based on Fixed Size Candidate Set ART Algorithm,Forward snowballing (2021-11)
2020,RubingHuangaQuanjunZhangbDaveToweycWeifengSunbJinfuChenb,Regression test case prioritization by code combinations coverage,Forward snowballing (2021-11)
2020,,Regression Test cases selection using Natural Language Processing,Forward snowballing (2021-11)
2017,,Regression tests provenance data in the continuous software engineering context,Forward snowballing (2021-11)
2020,,Relation-based test case prioritization for regression testing,Forward snowballing (2021-11)
2018,,REMAP: Using rule mining and multi-objective search for dynamic test case prioritization,Forward snowballing (2021-11)
2019,,"Replication of Studies in Empirical Software Engineering: A Systematic Mapping Study, From 2013 to 2018",Forward snowballing (2021-11)
2017,,Requirement dependencies-based formal approach for test case prioritization in regression testing,Forward snowballing (2021-11)
2017,,Requirements prioritization techniques review and analysis,Forward snowballing (2021-11)
2019,,Resurgence of Regression Test Selection for C++,Forward snowballing (2021-11)
2018,,Retest: A cost effective test case selection technique for modern software development,Forward snowballing (2021-11)
2020,"H Jahan, Z Feng, SM Mahmud ",Risk-Based Test Case Prioritization by Correlating System Methods and Their Associated Risks,Forward snowballing (2021-11)
2017,,Rotten green tests,Forward snowballing (2021-11)
2018,,Rotten Green Tests A First Analysis,Forward snowballing (2021-11)
2020,,RTPTorrent: An open-source dataset for evaluating regression test prioritization,Forward snowballing (2021-11)
2018,,Search-based optimization for the testing resource allocation problem: research trends and opportunities,Forward snowballing (2021-11)
2017,,Search-based product line fault detection allocating test cases iteratively,Forward snowballing (2021-11)
2019,,Search-Based test case prioritization for simulation-Based testing of cyber-Physical system product lines,Forward snowballing (2021-11)
2020,"A Arrieta, JA Agirre, G Sagardui",Seeding strategies for multi-objective test case selection: an application on simulation-based testing,Forward snowballing (2021-11)
2018,,Similarity-based prioritization of test case automation,Forward snowballing (2021-11)
2018,,"Software configuration engineering in practice: Interviews, survey, and systematic literature review",Forward snowballing (2021-11)
2019,,SOrTES: A supportive tool for stochastic scheduling of manual integration test cases,Forward snowballing (2021-11)
2018,,Spectrum-based fault localization in software product lines,Forward snowballing (2021-11)
2018,,SPIRITuS: A simple information retrieval regression test selection approach,Forward snowballing (2021-11)
2019,,Supervised tie breaking in test case prioritization,Forward snowballing (2021-11)
2019,,Techniques for evolution-aware runtime verification,Forward snowballing (2021-11)
2019,,Test activities in the continuous integration and delivery pipeline,Forward snowballing (2021-11)
2019,,Test Case Generation using Unified Modeling Language,Forward snowballing (2021-11)
2020,"H Wang, M Yang, L Jiang, J Xing, Q Yang, F Yan",Test Case Prioritization for Service-Oriented Workflow Applications: a Perspective of Modification Impact Analysis,Forward snowballing (2021-11)
2019,,Test case prioritization using clustering approach for object oriented software,Forward snowballing (2021-11)
2019,,Test case selection using structural coverage in software product lines for time-budget constrained scenarios,Forward snowballing (2021-11)
2017,,Test optimisation for highly-configurable cyber-physical systems,Forward snowballing (2021-11)
2019,,Test scenario prioritization for object-oriented systems using UML diagram,Forward snowballing (2021-11)
2019,,Test Suite Optimization Using Firefly and Genetic Algorithm,Forward snowballing (2021-11)
2017,,Test suite parallelization in open-source projects: a study on its usage and impact,Forward snowballing (2021-11)
2017,,Test suite prioritization for efficient regression testing of model-based automotive software,Forward snowballing (2021-11)
2019,,"Test them all, is it worth it? Assessing configuration sampling on the JHipster Web development stack",Forward snowballing (2021-11)
2019,,Test-driven anonymization for artificial intelligence,Forward snowballing (2021-11)
2020,,Testing and debugging: an empirical evaluation of integrated approaches.,Forward snowballing (2021-11)
2020,,Testing System for Corporation Productivity Improvement Department,Forward snowballing (2021-11)
2019,,Testing Tools for Configurable Software Systems: A Review-based Empirical Study,Forward snowballing (2021-11)
2019,,TestSage: Regression test selection for large-scale Web service testing,Forward snowballing (2021-11)
2020,"EK Mece, H Paci, K Binjaku ",The Application Of Machine Learning In Test Case Prioritization-A Review,Forward snowballing (2021-11)
2019,,"The art, science, and engineering of fuzzing: A survey",Forward snowballing (2021-11)
2018,,The Cuckoo Search and Integer Linear Programming Based Approach to Time-Aware Test Case Prioritization Considering Execution Environment,Forward snowballing (2021-11)
2020,,The design science paradigm as a frame for empirical software engineering,Forward snowballing (2021-11)
2017,,The EMFIS Model—Enable More Frequent Integration of Software,Forward snowballing (2021-11)
2019,,The Impact of Artificial Intelligence on Software Testing,Forward snowballing (2021-11)
2017,,The impact of coverage on bug density in a large industrial software project,Forward snowballing (2021-11)
2018,,"The impact of failing, flaky, and high failure tests on the number of crash reports associated with Firefox builds",Forward snowballing (2021-11)
2019,,Towards automated boundary value testing with program derivatives and search,Forward snowballing (2021-11)
2019,,Towards efficient analysis of variation in time and space,Forward snowballing (2021-11)
2017,,Towards execution time prediction for manual test cases from test specification,Forward snowballing (2021-11)
2020,,Towards Pattern-Based Change Verification Framework for Cloud-Enabled Healthcare Component-Based,Forward snowballing (2021-11)
2016,,Towards the Online Testing of Distributed and Heterogeneous Systems with Extended Petri Nets,Forward snowballing (2021-11)
2020,"MC De Castro-Cabrera, A Garcia-Dominguez…",Trends in prioritization of test cases: 2017-2019,Forward snowballing (2021-11)
2017,,Uncertainty-wise testing of cyber-physical systems,Forward snowballing (2021-11)
2019,,Understanding and improving regression test selection in continuous integration,Forward snowballing (2021-11)
2017,,Usage of Tests in an Open-Source Community: A Case Study with Pharo Developers,Forward snowballing (2021-11)
2018,,Using controlled numbers of real faults and mutants to empirically evaluate coverage-based test case prioritization,Forward snowballing (2021-11)
2019,,Using machine learning to recommend correctness checks for geographic map data,Forward snowballing (2021-11)
2019,,Using multi-objective search and machine learning to infer rules constraining product configurations,Forward snowballing (2021-11)
2020,,Using mutation testing to measure behavioural test diversity,Forward snowballing (2021-11)
2018,,Varxplorer: Lightweight process for dynamic analysis of feature interactions,Forward snowballing (2021-11)
2019,,Version specific test case prioritization approach based on artificial neural network,Forward snowballing (2021-11)
2018,,Visualizing test diversity to support test optimisation,Forward snowballing (2021-11)
2018,,Web service slicing: Intra and inter-operational analysis to test changes,Forward snowballing (2021-11)
2019,,Weight and Cluster Based Test case Prioritization Technique,Forward snowballing (2021-11)
2017,"Vincent Blondeau, Anne Etien, Nicolas Anquetil, Sylvain Cresson, Pascal Croisy, Stéphane Ducasse",What are the Testing Habits of Developers?,Forward snowballing (2021-11)
2017,,Yo variability! JHipster: a playground for web-apps analyses,Forward snowballing (2021-11)
2022,"L Rosenbauer, D Pätzel, A Stein, J Hähner -",A Learning Classifier System for Automated Test Case Prioritization and Selection,Forward snowballing (2022-08)
2021,"F Li, J Zhou, Y Li, D Hao, L Zhang ",AGA: An Accelerated Greedy Additional Algorithm for Test Case Prioritization,Forward snowballing (2022-08)
2022,D Marijan ,Comparative Study of Machine Learning Test Case Prioritization for Continuous Integration Testing,Forward snowballing (2022-08)
2021,"Y Chen, N Chaudhari, MH Chen ",Context-Aware Regression Test Selection,Forward snowballing (2022-08)
2022,"JA Prado Lima, WDF Mendonça, SR Vergilio…",Cost-effective learning-based strategies for test case prioritization in continuous integration of highly-configurable software,Forward snowballing (2022-08)
2022,"D Marijan, S Sen ",Industry–Academia Research Collaboration and Knowledge Co-creation: Patterns and Anti-patterns,Forward snowballing (2022-08)
2022,"S Omri, C Sinz",Learning to Rank for Test Case Prioritization,Forward snowballing (2022-08)
2022,"EA Da Roza, JAP Lima, RC Silva…",Machine Learning Regression Techniques for Test Case Prioritization in Continuous Integration Environment,Forward snowballing (2022-08)
2022,S Omri ,Quality-Aware Learning to Prioritize Test Cases.,Forward snowballing (2022-08)
2022,"Q Zhang, C Fang, W Sun, S Yu, Y Xu, Y Liu",Test case prioritization using partial attention,Forward snowballing (2022-08)
2021,"M Khatibsyarbini, MA Isa, DNA Jawawi… ",Trend Application of Machine Learning in Test Case Prioritization: A Review on Techniques,Forward snowballing (2022-08)
2022,"FS Ahmed, A Majeed, TA Khan, SN Bhatti ",Value-based cost-cognizant test case prioritization for regression testing,Forward snowballing (2022-08)
2021,"Y Huang, T Shu, Z Ding ",A learn-to-rank method for model-based regression test case prioritization,Forward snowballing refresh (2022-08)
2020,M Nooraei Abadeh…,A Model Driven Approach to Automate Software Regression Testing Using Incremental Model Transformation,Forward snowballing refresh (2022-08)
2020,"M Vahidi-Asl, MR Dehghani-Tafti…",A New Approach Based on Software Metrics to Improve the Effectiveness of Regression Testing,Forward snowballing refresh (2022-08)
2020,"Y ShAo, B Liu, S WAng, P XiAo",A novel test case prioritization method based on problems of numerical software code statement defect prediction,Forward snowballing refresh (2022-08)
2022,"S Biswas, R Rathi, A Dutta, P Mitra, R Mall",A regression test case prioritization technique targeting 'hard to detect'faults,Forward snowballing refresh (2022-08)
2021,"M Rehan, N Senan, M Aamir, A Samad…",A Systematic Analysis of Regression Test Case Selection: A Multi-Criteria-Based Approach,Forward snowballing refresh (2022-08)
2021,"A Rahmani, S Ahmad, IEA Jalil… ",A Systematic Literature Review on Regression Test Case Prioritization,Forward snowballing refresh (2022-08)
2022,"U Dash, AA Acharya",A Systematic Review of Test Case Prioritization Approaches,Forward snowballing refresh (2022-08)
2021,M Azizi,A tag-based recommender system for regression test case prioritization,Forward snowballing refresh (2022-08)
2022,"A Ramírez, R Feldt, JR Romero","A Taxonomy of Information Attributes for Test Case Prioritisation: Applicability, Machine Learning",Forward snowballing refresh (2022-08)
2021,V Yaneva-Cormack,Accelerating software test execution using GPUs,Forward snowballing refresh (2022-08)
2021,"F Li, J Zhou, Y Li, D Hao, L Zhang",AGA: An Accelerated Greedy Additional Algorithm for Test Case Prioritization,Forward snowballing refresh (2022-08)
2020,"D Rohatgi, G Dwivedi, T Pandey",An Automated Test Framework for Regression Test Selection for Web Services,Forward snowballing refresh (2022-08)
2022,"MK Shin, S Ghosh, LR Vijayasarathy",An empirical comparison of four Java-based regression test selection techniques,Forward snowballing refresh (2022-08)
2021,"A Rahmani, JL Min, A Maspupah",An empirical study of regression testing techniques,Forward snowballing refresh (2022-08)
2021,"L Li, Y Zhou, Y Yuan, S Wu",An Extensive Study on Multi-Priority Algorithm in Test Case Prioritization and Reduction,Forward snowballing refresh (2022-08)
2021,"C Laaber, HC Gall, P Leitner ",Applying test case prioritization to software microbenchmarks,Forward snowballing refresh (2022-08)
2021,"M Gökçeoğlu, H Sözer",Automated defect prioritization based on defects resolved at various project periods,Forward snowballing refresh (2022-08)
2022,"T Çıngıl, H Sözer ",Black-box Test Case Selection by Relating Code Changes with Previously Fixed Defects,Forward snowballing refresh (2022-08)
2022,"R Greca, B Miranda, M Gligoric…",Comparing and combining file-based selection and similarity-based prioritization towards regression test orchestration,Forward snowballing refresh (2022-08)
2021,"C Pan, M Pradel",Continuous test suite failure prediction,Forward snowballing refresh (2022-08)
2020,"J Han, Z Li, J Guo, R Zhao",Convergence based Evaluation Strategies for Learning Agent of Hyper-heuristic Framework for Test Case Prioritization,Forward snowballing refresh (2022-08)
2021,"S Mehta, F Farmahinifarahani, R Bhagwan…",Data-driven test selection at scale,Forward snowballing refresh (2022-08)
2021,C Liu,Dispersity-Based Test Case Prioritization,Forward snowballing refresh (2022-08)
2022,"R Huang, D Towey, Y Xu, Y Zhou…",Dissimilarity-based test case prioritization through data fusion,Forward snowballing refresh (2022-08)
2020,"C Pan, Y Yang, Z Li, J Guo",Dynamic Time Window based Reward for Reinforcement Learning in Continuous Integration Testing,Forward snowballing refresh (2022-08)
2021,M Sagheer,Energy Aware Test-Suite Prioritization for Android Applications,Forward snowballing refresh (2022-08)
2021,"PE Strandberg, M Frasheri…",Ethical AI-Powered Regression Test Selection,Forward snowballing refresh (2022-08)
2021,"B Ma, L Wan, N Yao, S Fan, Y Zhang",Evolutionary selection for regression test cases based on diversity,Forward snowballing refresh (2022-08)
2022,"T Priya, M Prasanna",Fault-Based Test Case Prioritization of Regression Testing Using Genetic Algorithm,Forward snowballing refresh (2022-08)
2021,"M Hasnain, MF Pasha, I Ghani, SR Jeong ",Functional Requirement-Based Test Case Prioritization in Regression Testing: A Systematic Literature Review,Forward snowballing refresh (2022-08)
2021,"C Wohlin, P Runeson",Guiding the selection of research methodology in industry–academia collaboration in software engineering,Forward snowballing refresh (2022-08)
2021,"S Mondal, R Nasre ",Hansie: Hybrid and consensus regression test prioritization,Forward snowballing refresh (2022-08)
2021,"X Ling, R Agrawal, T Menzies",How different is test case prioritization for open and closed source projects,Forward snowballing refresh (2022-08)
2021,"Y Lou, S Benton, D Hao, L Zhang, L Zhang",How Does Regression Test Selection Affect Program Repair? An Extensive Study on 2 Million Patches,Forward snowballing refresh (2022-08)
2020,"C Magalhães, J Andrade, L Perrusi, A Mota…",HSP: A hybrid selection and prioritisation of regression test cases based on information retrieval and code coverage applied on an industrial case study,Forward snowballing refresh (2022-08)
2022,"NM Minhas, M Irshad, K Petersen, J Börstler ",Lessons learned from replicating a study on information-retrieval based test case prioritization,Forward snowballing refresh (2022-08)
2020,"KW Shin, DJ Lim",Model-based test case prioritization using an alternating variable method for regression testing of a UML-based model,Forward snowballing refresh (2022-08)
2022,A Arrieta,Multi-objective metamorphic follow-up test case selection for deep learning systems,Forward snowballing refresh (2022-08)
2022,"S Ruland, M Lochau",On the Interaction between Test-Suite Reduction and Regression-Test Selection Strategies,Forward snowballing refresh (2022-08)
2021,"A Vescan, C Chisalita-Cretu, C Serban…",On the use of evolutionary algorithms for test case prioritization in regression testing considering requirements dependencies,Forward snowballing refresh (2022-08)
2021,"M Hasnain, I Ghani, MF Pasha, SR Jeong",Ontology-Based Regression Testing: A Systematic Literature Review,Forward snowballing refresh (2022-08)
2021,"S Chaudhary, A Jatain ",Optimization of Test Case Prioritization Using Automatic Dependency Detection,Forward snowballing refresh (2022-08)
2021,"O Dahiya, K Solanki ",Prevailing standards in requirement-based test case prioritization: an overview,Forward snowballing refresh (2022-08)
2022,"Ş Dirim, OÖ Özener, H Sözer",Prioritization and parallel execution of test cases for certification testing of embedded systems,Forward snowballing refresh (2022-08)
2021,"HG Nguyen, HD Le, V Nguyen",Prioritizing automated test cases of Web applications using reinforcement learning: an enhancement,Forward snowballing refresh (2022-08)
2021,"M Samaila, ZU Armiya'u ",Program Model-Based Regression Tests Selection Approaches: A Review,Forward snowballing refresh (2022-08)
2020,"R Wang, Z Li, S Jiang, C Tao ",Regression Test Case Prioritization Based on Fixed Size Candidate Set ART Algorithm,Forward snowballing refresh (2022-08)
2021,"A Samad, H Mahdin, R Kazmi",Regression Test Case Prioritization: A Systematic Literature Review,Forward snowballing refresh (2022-08)
2020,"DK Yadav, S Dutta",Regression test case selection and prioritization for object oriented software,Forward snowballing refresh (2022-08)
2022,"AS Verma, A Choudhary, S Tiwari",Regression Test Case Selection: A Comparative Analysis of Metaheuristic Algorithms,Forward snowballing refresh (2022-08)
2020,"M Qu, X Wu, Y Tao, G Wang…",Research on regression test method based on multiple UML graphic models,Forward snowballing refresh (2022-08)
2021,"C Lu, H Zhang, T Yue, S Ali ",Search-Based Selection and Prioritization of Test Scenarios for Autonomous Driving Systems,Forward snowballing refresh (2022-08)
2020,P Stratis,Software testing: test suite compilation and execution optimizations,Forward snowballing refresh (2022-08)
2022,"A Arrieta, P Valle, JA Agirre, G Sagardui ",Some Seeds are Strong: Seeding Strategies for Search-based Test Case Selection,Forward snowballing refresh (2022-08)
2021,"S Mondal, D Silva, M d'Amorim ",Soundy Automated Parallelization of Test Execution,Forward snowballing refresh (2022-08)
2021,"Y Yang, Z Li, Y Shang, Q Li",Sparse reward for reinforcement learning‐based continuous integration testing,Forward snowballing refresh (2022-08)
2020,"J Dong, Y Lou, D Hao",SRRTA: regression testing acceleration via state reuse,Forward snowballing refresh (2022-08)
2021,"DK Yadav, S Dutta, C Azad",Study and Analysis of Test Case Prioritization Technique,Forward snowballing refresh (2022-08)
2021,"G Nayak, M Ray",Survey on Prioritizing Test Cases in Various Levels of the Software Development Life Cycle,Forward snowballing refresh (2022-08)
2022,"Z Sadri‐Moshkenani, J Bradley… ","Survey on test case generation, selection and prioritization for cyber‐physical systems",Forward snowballing refresh (2022-08)
2021,"S Singhal, N Jatana, B Suri, S Misra…",Systematic Literature Review on Test Case Selection and Prioritization: A Tertiary Study,Forward snowballing refresh (2022-08)
2021,"DK Yadav, S Dutta ",Test case prioritization based on early fault detection technique,Forward snowballing refresh (2022-08)
2021,"M Qasim, A Bibi, SJ Hussain, NZ Jhanjhi, M Humayun",Test case prioritization techniques in software regression testing: An overview,Forward snowballing refresh (2022-08)
2022,"TK Akila, A Malathi - International Journal of Advanced",Test case prioritization using modified genetic algorithm and ant colony optimization for regression testing,Forward snowballing refresh (2022-08)
2022,"M Mahdieh, SH Mirian-Hosseinabadi…",Test case prioritization using test case diversification and fault-proneness estimations,Forward snowballing refresh (2022-08)
2020,IS Cavalcante,Test case prioritization: a case study in the evolution of a real system.,Forward snowballing refresh (2022-08)
2022,"S FAN, L WAN, N YAO, Y ZHANG...",Test Case Sorting Method Based on Key Use Cases Extracted,Forward snowballing refresh (2022-08)
2021,"S Mukherjee, S Roy, PP Acharjya",Test Evaluation Metrics and Test Case Prioritization in the Dynamics of Software Testing,Forward snowballing refresh (2022-08)
2021,"C Xia, Y Zhang, Z Hui",Test suite reduction via evolutionary clustering,Forward snowballing refresh (2022-08)
2022,"E Jabbar, S Zangeneh, H Hemmati, R Feldt ",Test2Vec: An Execution Trace Embedding for Test Case Prioritization,Forward snowballing refresh (2022-08)
2020,H Haggren,Text Similarity Analysis for Test Suite Minimization,Forward snowballing refresh (2022-08)
2021,"C Magalhães, A Mota, L Momente",UI Test case prioritization on an industrial setting: A search for the best criteria,Forward snowballing refresh (2022-08)
2020,"J Holmes, I Ahmed, C Brindescu, R Gopinath… ",Using relative lines of code to guide automated test generation for python,Forward snowballing refresh (2022-08)
2021,"G Li, Y Yang, Z Wu, T Cao, Y Liu…",Weighted Reward for Reinforcement Learning based Test Case Prioritization in Continuous Integration Testing,Forward snowballing refresh (2022-08)
2016,"Rosero, R H; Gómez, O S; Rodríguez, G",15 Years of Software Regression Testing Techniques - A Survey,Initial query (2020-04)
2017,"Felbinger, Hermann; Pill, Ingo; Wotawa, Franz",A “strength of decision tree equivalence”-taxonomy and its impact on test suite reduction,Initial query (2020-04)
2019,"Liu, Wenhong; Jiang, Jiahong; Li, Zhongtian; Yang, Jun; Song, Yakui; Dou, Zhaohui",A Baseline Evaluation Method Based on Principal Component Analysis for Software Test Case Design,Initial query (2020-04)
2018,"Yilmaz, U; Tarhan, A",A case study to compare regression test selection techniques on open-source software projects,Initial query (2020-04)
2018,"Yi, Jooyong; Böhme, Marcel",A Correlation Study between Automated Program Repair and Test-Suite Metrics,Initial query (2020-04)
2018,"Yi, Jooyong; Tan, Shin Hwei; Mechtaev, Sergey; Böhme, Marcel; Roychoudhury, Abhik",A correlation study between automated program repair and test-suite metrics,Initial query (2020-04)
2019,"Kaur, Anureet; Kaur, Kulwant",A COSMIC function points based test effort estimation model for mobile applications,Initial query (2020-04)
2016,"Barus, Arlinta C.; Chen, Tsong Yueh; Kuo, Fei Ching F.-C.; Liu, Huai; Merkel, Robert; Rothermel, Gregg",A Cost-Effective Random Testing Method for Programs with Non-Numeric Inputs,Initial query (2020-04)
2019,"Pandit, Mahesha Bangalore Ramalinga; Varma, Nitin",A Deep Introduction to AI Based Software Defect Prediction (SDP) and its Current Challenges,Initial query (2020-04)
2016,"Moraes, Alan; Andrade, Wilkerson L.; Machado, Patrícia D.L.",A family of test selection criteria for Timed Input-Output Symbolic Transition System models,Initial query (2020-04)
2016,"Kai, Xie; Chao, Sun",A fast regression testing method using for EMS system engineering project,Initial query (2020-04)
2019,"Bao, Xiaojing; Wang, Zhenxing; Chen, Xiao",A Flexible and Efficient Approach to Component Test in Time-Critical Scenarios,Initial query (2020-04)
2016,"Gao, Ruoyu; Jiang, Zhen Ming; Barna, Cornel; Litoiu, Marin",A Framework to Evaluate the Effectiveness of Different Load Testing Analysis Techniques,Initial query (2020-04)
2019,"Habtemariam, Getachew Mekuria; Mohapatra, Sudhir Kumar",A Genetic Algorithm-Based Approach for Test Case Prioritization,Initial query (2020-04)
2018,"Saber, Takfarinas; Delavernhe, Florian; Papadakis, Mike; Oneill, Michael; Ventresque, Anthony",A Hybrid Algorithm for Multi-Objective Test Case Selection,Initial query (2020-04)
2018,"Ghosh, Soumi; Rana, Ajay; Kansal, Vineet",A Hybrid Nonlinear Manifold Detection Approach for Software Defect Prediction,Initial query (2020-04)
2017,"Guizzo, Giovani; Bazargani, Mosab; Paixao, Matheus; Drake, John H.",A hyper-heuristic for multi-objective integration and test ordering in google guava,Initial query (2020-04)
2016,"Luo, Qi; Moran, Kevin; Poshyvanyk, Denys",A Large-Scale Empirical Comparison of Static and Dynamic Test Case Prioritization Techniques,Initial query (2020-04)
2019,"Marijan, Dusica; Gotlieb, Arnaud; Liaaen, Marius",A learning algorithm for optimizing continuous integration development and testing practice,Initial query (2020-04)
2017,"Zhou, Yue; Yan, Jinyao",A logistic regression based approach for software test management,Initial query (2020-04)
2020,"Wei, D; Sun, Q; Wang, X; Zhang, T; Chen, B",A Model-Based Test Case Prioritization Approach Based on Fault Urgency and Severity,Initial query (2020-04)
2019,"Kiran, A; Azam, F; Anwar, M W; Qasim, I; Tufail, H",A model-driven approach for simplified cluster based test suite optimization of industrial systems – An introduction to UMLTSO,Initial query (2020-04)
2019,"Nooraei Abadeh, Maryam; Ajoudanian, Shohreh",A model-driven framework to enhance the consistency of logical integrity constraints: Introducing integrity regression testing,Initial query (2020-04)
2016,"Bojić, D M; Bošnjaković, A M; Protić, J Z; Tartalja, I I",A Modified Hill-Climbing Algorithm for Knowledge Test Assembly Based on Classified Criteria,Initial query (2020-04)
2017,"Lima, Jackson A.Prado Prado; Vergilio, Silvia R.",A Multi-Objective Optimization Approach for Selection of Second Order Mutant Generation Strategies,Initial query (2020-04)
2016,"Matnei Filho, Rui A.; Vergilio, Silvia R.",A multi-objective test data generation approach for mutation testing of feature models,Initial query (2020-04)
2016,"Gotlieb, A; Carlsson, M; Marijan, D; Pétillon, A",A new approach to feature-based test suite reduction in software product line testing,Initial query (2020-04)
2017,"Yu, Z; Xiao, P; Wu, Y; Liu, B; Wu, L",A Novel Automated GUI Testing Echnology Based on Image Recognition,Initial query (2020-04)
2018,"Kumar, Prathipati Ratna; Saradhi Varma, G. P.",A novel probabilistic-ABC based boosting model for software defect detection,Initial query (2020-04)
2016,"Qi, Rong Zhi; Wang, Zhi Jian; Li, Shui Yan",A Parallel Genetic Algorithm Based on Spark for Pairwise Test Suite Generation,Initial query (2020-04)
2017,"ai Sun, Chang; Xue, Feifei; Liu, Huai; Zhang, Xiangyu",A path-aware approach to mutant reduction in mutation testing,Initial query (2020-04)
2019,"Kessel, Marcus; Atkinson, Colin",A platform for diversity-driven test amplification,Initial query (2020-04)
2016,"Haghbayan, Mohammad Hashem; Rahmani, Amir Mohammad; Miele, Antonio; Fattah, Mohammad; Plosila, Juha; Liljeberg, Pasi; Tenhunen, Hannu",A power-aware approach for online test scheduling in many-core architectures,Initial query (2020-04)
2019,"Akimoto, Hirofumi; Isogami, Yuto; Kitamura, Takashi; Noda, Natsuko; Kishi, Tomoji",A Prioritization Method for SPL Pairwise Testing Based on User Profiles,Initial query (2020-04)
2016,"Mendes, Ingrid do Nascimento; Dias-Neto, Arilo Claudio",A Process-Based Approach to Test Usability of Multi-platform Mobile Applications,Initial query (2020-04)
2019,"Nikravan, Esmaeel; Parsa, Saeed",A reasoning-based approach to dynamic domain reduction in test data generation,Initial query (2020-04)
